City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,anjozorobe,-18.4,47.8667,17.89,87,100,3.74,MG,1675832017
222,sabang,5.8933,95.3214,27.59,74,100,6.33,ID,1675832017
223,salcininkai,54.3,25.3833,-5.95,97,71,2.31,LT,1675832017
224,nishihara,26.1842,127.7558,21.81,73,40,7.72,JP,1675832018
225,fare,-16.7,-151.0167,27.04,70,7,4.09,PF,1675832018
226,umm lajj,25.0213,37.2685,16.62,54,97,4.15,SA,1675832019
227,teguldet,57.3064,88.1667,-11.82,92,100,3.33,RU,1675831799
228,manado,1.487,124.8455,24.43,94,40,2.06,ID,1675832019
229,noumea,-22.2763,166.4572,31.11,99,99,4.37,NC,1675832020
230,ucluelet,48.9329,-125.5528,5.43,75,56,5.93,CA,1675832020
231,otorohanga,-38.1833,175.2,22.88,71,41,4.09,NZ,1675832021
232,komsomolskiy,40.4272,71.7189,5.4,60,92,2.06,UZ,1675831969
233,renqiu,38.6989,116.0936,6.16,32,87,2.51,CN,1675832021
234,narsaq,60.9167,-46.05,-20.88,66,22,4.22,GL,1675832022
235,mizan teferi,6.9833,35.5833,19.85,38,6,1.05,ET,1675832022
236,kangalassy,62.3464,129.9628,-43.04,94,100,0.45,RU,1675832022
237,grindavik,63.8424,-22.4338,-3.03,74,75,12.35,IS,1675831974
238,auki,-8.7676,160.7034,29.82,65,84,2.74,SB,1675832023
239,ayan,56.45,138.1667,-25.63,62,33,2.58,RU,1675832023
240,igarka,67.4667,86.5833,-24.2,100,95,0.36,RU,1675832024
241,pangody,65.85,74.4859,-18.35,91,89,6.69,RU,1675832024
242,sheridan,44.8333,-106.9173,-0.94,73,0,1.54,US,1675832025
243,petatlan,17.5167,-101.2667,21.76,78,0,1.47,MX,1675832025
244,camacha,33.0833,-16.3333,10.68,87,40,2.57,PT,1675832025
245,olafsvik,64.8945,-23.7142,-2.3,52,100,12.68,IS,1675832026
246,hasaki,35.7333,140.8333,12.34,67,100,8.39,JP,1675832026
247,jacqueville,5.2052,-4.4146,26.06,86,66,3.11,CI,1675832027
248,lamu,-2.2717,40.902,25.12,83,44,4.51,KE,1675832027
249,houma,29.5958,-90.7195,19.44,92,40,2.06,US,1675831887
250,makakilo city,21.3469,-158.0858,25.18,70,20,7.72,US,1675832027
251,ilebo,-4.3167,20.5833,21.23,96,100,0.3,CD,1675832028
252,kralendijk,12.15,-68.2667,25.99,73,40,6.17,BQ,1675832028
253,caravelas,-17.7125,-39.2481,24.24,85,42,2.76,BR,1675832029
254,vila franca do campo,37.7167,-25.4333,12.23,75,86,5.06,PT,1675831771
255,lingao,19.9103,109.6859,26.48,64,44,5.42,CN,1675832029
256,banda aceh,5.5577,95.3222,28.77,69,99,4.87,ID,1675832030
257,bilma,18.6853,12.9164,17.8,24,100,3.59,NE,1675832030
258,sao jose da coroa grande,-8.8978,-35.1478,24.46,75,96,2.17,BR,1675831940
259,sola,-13.8833,167.55,27.88,77,98,5.52,VU,1675831934
260,rawson,-43.3002,-65.1023,18.1,58,1,2.13,AR,1675831981
261,guerrero negro,27.9769,-114.0611,15.6,33,0,1.09,MX,1675832031
262,wellington,-41.2866,174.7756,23.1,58,0,8.23,NZ,1675831815
263,thompson,55.7435,-97.8558,-16.91,85,75,1.03,CA,1675832031
264,egvekinot,66.3167,-179.1667,-30.34,88,89,3.93,RU,1675832032
265,pisco,-13.7,-76.2167,23.03,83,0,4.12,PE,1675831758
266,gao,16.6362,1.637,22.31,15,76,5.43,ML,1675832032
267,oussouye,12.485,-16.5469,20.1,44,58,3.29,SN,1675832033
268,bouna,9.2667,-3.0,24.41,69,84,2.46,CI,1675832033
269,svetlogorsk,52.6333,29.7333,-12.55,97,61,1.03,BY,1675832033
270,soroti,1.7146,33.6111,21.5,65,3,2.17,UG,1675832034
271,san policarpo,12.1791,125.5072,27.4,71,100,6.99,PH,1675832034
272,mahebourg,-20.4081,57.7,27.16,78,40,5.14,MU,1675831786
273,almaty,43.25,76.95,-5.05,93,75,1.0,KZ,1675832035
274,ancud,-41.8697,-73.8203,12.83,94,1,1.64,CL,1675831960
275,saint george,37.1041,-113.5841,7.33,52,0,2.57,US,1675832035
276,parrita,9.5201,-84.3225,24.59,73,100,2.25,CR,1675832036
277,steamboat springs,40.485,-106.8317,-10.55,90,0,0.0,US,1675831919
278,daru,-9.0763,143.2092,29.0,76,98,4.36,PG,1675832036
279,ouahigouya,13.5828,-2.4216,23.85,17,85,4.23,BF,1675832037
280,manokwari,-0.8667,134.0833,26.78,81,100,2.29,ID,1675831786
281,acapulco,16.8634,-99.8901,23.98,75,1,1.98,MX,1675831992
282,navolato,24.7672,-107.6944,15.29,34,100,4.26,MX,1675831777
283,te karaka,-38.4654,177.8679,24.4,50,84,0.84,NZ,1675832038
284,dikson,73.5069,80.5464,-20.12,89,100,9.94,RU,1675832038
285,te anau,-45.4167,167.7167,12.72,53,44,4.07,NZ,1675831814
286,hatillo,18.4863,-66.8254,23.56,94,11,0.89,PR,1675832039
287,amapa,1.0,-52.0,22.06,99,100,1.03,BR,1675832039
288,sitka,57.0531,-135.33,1.94,80,75,0.0,US,1675831862
289,yar-sale,66.8333,70.8333,-13.42,85,100,10.8,RU,1675832039
290,cairns,-16.9167,145.7667,34.48,70,75,2.57,AU,1675831917
291,novo aripuana,-5.1206,-60.3797,22.42,99,99,0.51,BR,1675832040
292,cidreira,-30.1811,-50.2056,23.82,82,6,6.17,BR,1675832040
293,muravlenko,63.7898,74.523,-22.9,98,92,4.78,RU,1675832041
294,leningradskiy,69.3833,178.4167,-32.15,95,100,2.22,RU,1675831983
295,miri,4.4148,114.0089,32.08,62,40,2.57,MY,1675832042
296,urucara,-2.5364,-57.76,22.97,98,100,0.09,BR,1675832042
297,luorong,24.4058,109.6086,14.55,85,99,1.7,CN,1675832043
298,saint paul,44.9444,-93.0933,-0.69,80,0,2.57,US,1675831775
299,faya,18.3851,42.4509,9.06,44,17,1.41,SA,1675831876
300,kudat,6.8837,116.8477,26.96,83,20,2.06,MY,1675832044
301,magistralnyy,56.1725,107.4458,-12.46,90,100,2.31,RU,1675832046
302,barranca,-10.75,-77.7667,22.54,82,26,2.23,PE,1675832046
303,san quintin,30.4833,-115.95,14.23,50,0,0.88,MX,1675832048
304,campoverde,-8.4753,-74.8058,21.94,99,64,0.73,PE,1675832049
305,tsiroanomandidy,-18.7667,46.0333,20.78,82,100,2.46,MG,1675832050
306,moron,-34.6534,-58.6198,28.31,65,11,3.64,AR,1675832050
307,comodoro rivadavia,-45.8667,-67.5,15.92,44,0,2.06,AR,1675832051
308,trebinje,42.7119,18.3442,1.19,27,0,10.8,BA,1675832000
309,sambava,-14.2667,50.1667,25.74,81,89,3.27,MG,1675832053
310,dingle,10.9995,122.6711,28.2,67,100,7.44,PH,1675832054
311,nanortalik,60.1432,-45.2371,-15.78,75,12,6.37,GL,1675832055
312,abengourou,6.7297,-3.4964,22.17,98,100,0.86,CI,1675832056
313,chumikan,54.7183,135.315,-24.16,75,59,5.89,RU,1675832058
314,phonhong,18.5007,102.4166,33.08,30,9,0.36,LA,1675832059
315,mastic beach,40.7668,-72.8521,4.87,93,100,3.13,US,1675832059
316,yerbogachen,61.2767,108.0108,-22.63,96,100,0.97,RU,1675832060
317,saint-augustin,51.226,-58.6502,-18.72,91,39,2.63,CA,1675832061
318,sao filipe,14.8961,-24.4956,20.04,69,30,4.28,CV,1675831868
319,lompoc,34.6391,-120.4579,10.29,82,84,4.47,US,1675832065
320,ryotsu,38.0833,138.4333,5.27,80,82,5.21,JP,1675832066
321,quelimane,-17.8786,36.8883,24.97,94,40,0.0,MZ,1675832067
322,lahaina,20.8783,-156.6825,24.34,88,21,5.84,US,1675831930
323,amboasary,-25.0333,46.3833,25.12,69,100,1.58,MG,1675832069
324,usolye,59.4268,56.6808,-15.71,97,100,3.07,RU,1675832071
325,odweyne,9.4092,45.064,20.67,56,21,1.3,SO,1675832071
326,codrington,-38.2667,141.9667,18.76,62,51,6.24,AU,1675832010
327,rocha,-34.4833,-54.3333,20.99,76,50,3.32,UY,1675832073
328,maningrida,-12.0667,134.2667,31.93,61,94,3.19,AU,1675832073
329,quatre cocos,-20.2078,57.7625,27.06,76,55,6.99,MU,1675832073
330,lock haven,41.137,-77.4469,7.17,96,100,2.19,US,1675832074
331,simbahan,6.3032,120.5836,27.28,71,99,2.48,PH,1675832074
332,lysva,58.1086,57.8053,-17.78,99,100,2.13,RU,1675832075
333,jacksonville,30.3322,-81.6556,16.67,89,40,1.54,US,1675832025
334,madhubani,26.3667,86.0833,23.23,39,0,0.95,IN,1675832076
335,panaba,21.2833,-88.2667,20.87,95,0,2.9,MX,1675832076
336,ostrovnoy,68.0531,39.5131,-2.21,82,11,9.07,RU,1675832076
337,port keats,-14.25,129.55,32.26,57,20,3.84,AU,1675832077
338,ust-ordynskiy,52.805,104.7508,-11.32,88,71,0.12,RU,1675832077
339,gat,31.61,34.7642,10.6,100,47,6.14,IL,1675832041
340,saldanha,-33.0117,17.9442,17.03,86,0,3.94,ZA,1675831818
341,wilmington,34.2257,-77.9447,13.81,81,0,0.0,US,1675831960
342,guilin,25.2819,110.2864,10.06,85,100,1.99,CN,1675832078
343,normandin,48.8333,-72.5321,-1.83,80,100,2.06,CA,1675832079
344,laguna,38.421,-121.4238,10.17,80,0,0.0,US,1675831950
345,pocoes,-14.5297,-40.3653,16.61,98,18,1.88,BR,1675832079
346,kloulklubed,7.0419,134.2556,29.28,76,100,8.26,PW,1675832080
347,gambiran,-6.7988,111.4951,25.61,85,100,1.64,ID,1675832080
348,fountain hills,33.6117,-111.7174,12.91,36,0,1.34,US,1675831871
349,tambun,-6.2641,107.0712,31.69,78,40,6.17,ID,1675832081
350,harper,4.375,-7.7169,25.84,84,93,3.05,LR,1675832025
351,bartica,6.4,-58.6167,24.18,99,27,0.58,GY,1675832081
352,pemba,-12.974,40.5178,25.39,85,100,4.03,MZ,1675832082
353,rampura,30.25,75.2333,20.73,23,29,3.19,IN,1675832082
354,coihaique,-45.5752,-72.0662,16.34,72,0,1.54,CL,1675832082
355,camapua,-19.5314,-54.0439,20.37,94,98,0.5,BR,1675832083
356,dagohoy,9.8927,124.2727,27.28,74,100,5.54,PH,1675832083
357,talnakh,69.4865,88.3972,-22.9,97,97,3.22,RU,1675831931
358,marfino,55.7028,37.3822,-6.86,79,100,5.0,RU,1675832084
359,batagay-alyta,67.8006,130.4114,-38.15,100,96,0.48,RU,1675832084
360,kasempa,-13.4584,25.8338,16.64,98,100,2.56,ZM,1675832085
361,santa ines,-3.6667,-45.38,22.4,98,98,1.15,BR,1675832085
362,shestakovo,56.4915,103.96,-9.59,89,100,2.82,RU,1675832085
363,ola,59.5833,151.2833,-21.59,84,33,3.2,RU,1675832086
